Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Class
0.84676164,0.29166394,0.12551162,0.97785014,0.8731051,-0.46641716,-0.21868463,0.88148487,1.2647156,0.1862103,-0.016722906,1.026078,0.8892454,0.57803506,0.6479393,0.8125936,0.367721,0.21991596,0.124156736,0.35391134,S
0.87877,0.04749329,0.03216699,1.8456146,0.8596363,-0.30240524,-0.33084762,1.6016742,0.88336873,-0.15825342,0.001835998,1.4361274,0.84653,0.5121547,0.4690326,1.0227668,0.40899867,0.15887395,0.1415651,0.3412546,S
0.5105079,-0.23563406,-0.027368171,1.9765229,0.48704273,-0.08033836,-0.03183231,1.6933969,0.8546274,-0.06501389,0.2224078,1.4349844,0.9705909,0.390771,0.44526076,1.0969701,0.12933725,0.23983295,0.152475,0.4075486,S
0.57978255,0.0921798,0.010967506,1.9765229,0.49339435,0.1793626,0.06866323,1.6933969,0.82413083,0.017051024,0.1456015,1.4349844,1.0594075,0.16887257,0.6564843,1.0969701,0.21881029,0.30929574,0.13981625,0.4075486,S
0.5941187,0.055995706,0.15044573,1.9765229,0.75290096,-0.24901356,-0.27756348,1.6933969,1.4321325,-0.019624619,0.07964754,1.4349844,0.922115,0.30004504,0.587855,1.0969701,0.182927,0.19047146,0.2755639,0.4075486,S
1.0135589,0.44335404,0.3010025,1.9765229,0.7634785,-0.3849802,-0.40956026,1.6933969,1.1920316,-0.14307791,0.0137009,1.4349844,0.93484783,0.42005125,0.53226596,1.0969701,0.18116763,0.119928636,0.17670698,0.4075486,S
0.9674803,0.5199055,0.40855783,0.90116054,0.75389785,-0.31926844,-0.35388097,0.362655,1.0824873,0.13504821,0.113607466,0.95946974,0.77255034,0.46408007,0.5775524,0.7238608,0.035674147,0.3060258,0.19511306,0.18966103,S
0.5549074,0.4448047,0.17779382,0.9562781,0.44502622,-0.2802967,-0.2574846,0.4778262,1.075222,0.17864177,0.19171026,1.0971653,0.6583902,0.574426,0.62628835,0.8506964,0.015236933,0.41551915,0.22122368,0.29431197,S
0.26423386,0.23143254,0.30639735,1.0188318,-0.072196655,-0.09065584,-0.09253567,0.93437403,0.7324918,0.10060381,0.061239507,0.8734504,0.6469384,0.5358354,0.6409727,0.7292918,0.10680822,0.33286187,0.13263753,0.31425777,S
0.6459902,0.14374423,0.14266317,0.96526766,0.40315467,0.11238359,-0.45208725,0.75286317,1.1727047,0.21069738,-0.2862034,1.0098555,0.7877535,0.5706877,0.6176898,0.6172633,0.2109696,0.29156026,0.18232974,0.1695785,S
0.57660556,0.39263633,0.18458346,1.244643,0.32752088,0.3650936,-0.17178492,1.3818756,1.1364663,0.42421693,-0.26228398,1.5122741,0.74161506,0.5687391,0.53780043,0.84432375,0.2172625,0.42020336,0.1674823,0.37163442,S
1.006321,0.13664882,0.17041183,1.3091257,0.7774338,0.12304778,0.09686514,1.4685493,1.007212,0.19631334,0.15992624,1.5122741,0.6956882,0.49585307,0.5882639,0.8770763,0.10429062,0.4785458,0.24670683,0.4098413,S
1.0757884,-0.107013345,0.1650022,1.3091257,0.8589247,-0.004340864,0.114565894,1.4685493,0.9212291,0.23921746,0.18834439,1.5122741,0.7731063,0.2664369,0.57562846,0.8770763,0.099751666,0.41895968,0.2735256,0.4098413,S
0.73163885,0.57569724,0.1303322,0.22747612,0.8287916,0.3192196,0.20539707,0.37296218,0.9522042,0.21238692,0.39561635,0.9790448,0.8870973,0.09160044,-0.08156283,0.7015292,0.23149844,-0.48115548,-0.38628706,0.032758288,S
0.96223897,0.5084269,0.78324836,0.34590244,0.87933046,0.2888521,0.52355826,0.60234725,1.0520349,0.18141678,0.49564075,1.0822064,0.8710981,0.072546765,0.2179275,0.6319849,0.3755935,-0.47863346,-0.46088845,0.0983903,S
0.9207819,1.4240313,0.8346242,0.28883907,0.77978116,1.266927,0.59573007,0.6463156,0.9338626,1.1410758,0.4953365,0.80530304,0.8154485,0.7587422,0.28048655,0.35676858,0.43793193,-0.1646497,-0.507532,0.15898062,S
0.88929504,0.7981299,0.7907599,-0.045412425,0.18346447,0.25748655,0.52811354,0.32537377,0.7360236,0.4572523,0.4369814,0.46848482,0.8657904,0.61069244,0.100135006,0.28696024,0.49127734,-0.23719665,-0.3005998,0.16883169,S
0.87571526,0.78319573,0.5290586,0.9372691,0.5825477,0.1430655,0.25795728,0.7533913,0.830475,0.54754573,0.26610327,0.95068175,0.7618001,0.5074604,0.14137547,0.68414116,0.62474984,-0.2668895,-0.21548627,0.27164248,S
0.8366223,0.6661529,0.6864296,0.88319355,0.6722066,0.1523262,0.30949268,0.6857521,0.87559086,0.53149533,0.5583191,0.9679383,0.832478,0.27946573,0.21166766,0.6514146,0.56980145,-0.3463642,-0.38616344,0.21795161,S
0.42717472,0.90514594,1.0320766,0.6056918,0.62155116,0.48962602,0.40880418,0.64441967,0.90759546,0.85676205,0.92157656,1.028887,0.8536924,0.2080212,0.351806,0.60398865,0.32702714,-0.43892318,-0.43701836,0.034950774,S
0.8734539,1.2040294,0.97872055,0.9726778,0.62717295,0.6695947,0.48764247,0.8836302,0.93248665,0.85676205,0.92551416,1.0028905,0.7220377,0.32803068,0.2638262,0.56686544,0.31672204,-0.5081832,-0.3058947,0.028597068,S
1.2149545,1.2068716,0.9802553,1.0640038,0.2673879,0.687149,0.716986,0.64417255,0.63718176,0.85676205,0.7813552,0.5095897,0.5913221,0.32019866,0.24652393,0.42505082,0.21863423,-0.5015702,-0.32530394,0.11393144,S
0.24368885,1.2068716,0.44178975,-0.22855358,0.32623518,0.687149,-0.086470455,0.32281548,0.53885907,0.85676205,0.31090304,0.71560395,0.5178376,0.32019866,0.03227866,0.55837786,0.32221088,-0.5015702,-0.523051,0.15136193,S
0.23342301,1.2068716,0.08765751,-0.105515696,0.11320689,0.687149,0.03112698,0.06946245,0.6725102,0.85676205,0.24541241,0.76215374,0.67599136,0.32019866,0.050363436,0.6277391,0.3528939,-0.5015702,-0.5207207,-0.016505051,S
0.124767944,1.2068716,0.28691235,-0.027459128,-0.2651137,0.687149,0.3196326,0.04462572,0.5649367,0.85676205,0.44849443,0.446534,0.79623395,0.32019866,0.06421073,0.595731,0.4410027,-0.5015702,-0.5366873,-0.002106433,S
0.39052975,1.2068716,0.30046996,0.39358383,0.2626651,0.687149,-0.033821214,-0.002912793,0.5103622,0.85676205,0.38227642,0.2732623,0.4706579,0.32019866,0.021047292,0.3792885,0.5705629,-0.5015702,-0.38486758,0.127365,S
